시도,의회명,2018년_월정수당,2019년_월정수당,증가율,인상금액
강원도,강원도 강릉시의회,24010000,24800000,3.29%,790000
강원도,강원도 고성군의회,19512671,20020000,2.60%,507329
강원도,강원도 동해시의회,22788000,24799200,8.83%,2011200
강원도,강원도 삼척시의회,21672000,26592000,22.70%,4920000
강원도,강원도 속초시의회,23350000,26300000,12.63%,2950000
강원도,강원도 양구군의회,17910000,19530000,9.05%,1620000
강원도,강원도 양양군의회,19060000,22800000,19.62%,3740000
강원도,강원도 영월군의회,18920000,22000000,16.28%,3080000
강원도,강원도 원주시의회,24000000,26100000,8.75%,2100000
강원도,강원도 인제군의회,18128280,20340000,12.20%,2211720
강원도,강원도 정선군의회,18720000,25440000,35.90%,6720000
강원도,강원도 철원군의회,20520000,23550000,14.77%,3030000
강원도,강원도 춘천시의회,24300000,28800000,18.52%,4500000
강원도,강원도 태백시의회,19800000,25500000,28.79%,5700000
강원도,강원도 평창군의회,18492000,27840000,50.55%,9348000
강원도,강원도 홍천군의회,20892000,21444000,2.64%,552000
강원도,강원도 화천군의회,18230000,20720000,13.66%,2490000
강원도,강원도 횡성군의회,19560000,20068560,2.60%,508560
경기도,경기도 가평군의회,21611040,22172920,2.60%,561880
경기도,경기도 고양시의회,32690058,33540000,2.60%,849942
경기도,경기도 과천시의회,27288000,27942840,2.40%,654840
경기도,경기도 광명시의회,26160000,26840160,2.60%,680160
경기도,경기도 광주시의회,25618440,26097480,1.87%,479040
경기도,경기도 구리시의회,26280000,26963280,2.60%,683280
경기도,경기도 군포시의회,27756000,28477560,2.60%,721560
경기도,경기도 김포시의회,30349912,31078310,2.40%,728398
경기도,경기도 남양주시의회,32419200,33262099,2.60%,842899
경기도,경기도 동두천시의회,23520000,23966880,1.90%,446880
경기도,경기도 부천시의회,32799960,33587040,2.40%,787080
경기도,경기도 성남시의회,35147520,36061320,2.60%,913800
경기도,경기도 수원시의회,36027960,36964680,2.60%,936720
경기도,경기도 시흥시의회,31500000,32319000,2.60%,819000
경기도,경기도 안산시의회,34920000,35760000,2.41%,840000
경기도,경기도 안성시의회,26858400,27556680,2.60%,698280
경기도,경기도 안양시의회,31590000,32411280,2.60%,821280
경기도,경기도 양주시의회,26410000,27096660,2.60%,686660
경기도,경기도 양평군의회,24000000,24624000,2.60%,624000
경기도,경기도 여주시의회,24873600,24873600,0.00%,0
경기도,경기도 연천군의회,20832000,21373632,2.60%,541632
경기도,경기도 오산시의회,29013960,29768320,2.60%,754360
경기도,경기도 용인시의회,33809280,34688280,2.60%,879000
경기도,경기도 의왕시의회,26771010,27120000,1.30%,348990
경기도,경기도 의정부시의회,27684960,28349400,2.40%,664440
경기도,경기도 이천시의회,28130000,28861380,2.60%,731380
경기도,경기도 파주시의회,24120000,24747000,2.60%,627000
경기도,경기도 평택시의회,28699920,29446000,2.60%,746080
경기도,경기도 포천시의회,25039200,25680720,2.56%,641520
경기도,경기도 하남시의회,27924000,28594176,2.40%,670176
경기도,경기도 화성시의회,33630000,34504380,2.60%,874380
경상남도,경상남도 거제시의회,26640000,26640000,0.00%,0
경상남도,경상남도 거창군의회,21040000,21587040,2.60%,547040
경상남도,경상남도 고성군의회,21068640,21616320,2.60%,547680
경상남도,경상남도 김해시의회,28360000,29038920,2.39%,678920
경상남도,경상남도 남해군의회,18480000,18960480,2.60%,480480
경상남도,경상남도 밀양시의회,22954800,23551560,2.60%,596760
경상남도,경상남도 사천시의회,21576000,22128000,2.56%,552000
경상남도,경상남도 산청군의회,18540000,19020000,2.59%,480000
경상남도,경상남도 양산시의회,24096000,24648000,2.29%,552000
경상남도,경상남도 의령군의회,18619920,19104000,2.60%,484080
경상남도,경상남도 진주시의회,24261240,24891960,2.60%,630720
경상남도,경상남도 창녕군의회,21372120,21927720,2.60%,555600
경상남도,경상남도 창원시의회,31142160,31889520,2.40%,747360
경상남도,경상남도 통영시의회,22507200,23092000,2.60%,584800
경상남도,경상남도 하동군의회,18540000,19022040,2.60%,482040
경상남도,경상남도 함안군의회,21460000,22017960,2.60%,557960
경상남도,경상남도 함양군의회,18540000,19022040,2.60%,482040
경상남도,경상남도 합천군의회,18330000,20100000,9.66%,1770000
경상북도,경상북도 경산시의회,21912000,22476000,2.57%,564000
경상북도,경상북도 경주시의회,22164000,22740000,2.60%,576000
경상북도,경상북도 고령군의회,18360000,18360000,0.00%,0
경상북도,경상북도 구미시의회,26388000,26388000,0.00%,0
경상북도,경상북도 군위군의회,17880000,18344880,2.60%,464880
경상북도,경상북도 김천시의회,21000000,21546000,2.60%,546000
경상북도,경상북도 문경시의회,20256480,20783040,2.60%,526560
경상북도,경상북도 봉화군의회,18679920,19159920,2.57%,480000
경상북도,경상북도 상주시의회,19299960,19801680,2.60%,501720
경상북도,경상북도 성주군의회,20616000,21144000,2.56%,528000
경상북도,경상북도 안동시의회,21540000,21540000,0.00%,0
경상북도,경상북도 영덕군의회,19500000,20007000,2.60%,507000
경상북도,경상북도 영양군의회,18852000,19332000,2.55%,480000
경상북도,경상북도 영주시의회,21139920,21689520,2.60%,549600
경상북도,경상북도 영천시의회,22680000,23268000,2.59%,588000
경상북도,경상북도 예천군의회,19560000,20064000,2.58%,504000
경상북도,경상북도 울릉군의회,16598280,17812920,7.32%,1214640
경상북도,경상북도 울진군의회,18900000,18900000,0.00%,0
경상북도,경상북도 의성군의회,18960000,19449960,2.58%,489960
경상북도,경상북도 청도군의회,19656000,20167080,2.60%,511080
경상북도,경상북도 청송군의회,19527240,19910400,1.96%,383160
경상북도,경상북도 칠곡군의회,21489960,22048680,2.60%,558720
경상북도,경상북도 포항시의회,26770000,26839602,2.60%,69602
광주광역시,광주광역시 광산구의회,24399600,27799920,13.94%,3400320
광주광역시,광주광역시 남구의회,25905480,26578920,2.60%,673440
광주광역시,광주광역시 동구의회,23310000,24940000,6.99%,1630000
광주광역시,광주광역시 북구의회,27611696,28329600,2.60%,717904
광주광역시,광주광역시 서구의회,28438440,29177832,2.60%,739392
대구광역시,대구광역시 남구의회,20320800,20828000,2.50%,507200
대구광역시,대구광역시 달서구의회,26490960,26490960,0.00%,0
대구광역시,대구광역시 달성군의회,22254720,22588440,1.50%,333720
대구광역시,대구광역시 동구의회,24167208,24529680,1.50%,362472
대구광역시,대구광역시 북구의회,22241640,22686360,2.00%,444720
대구광역시,대구광역시 서구의회,21092880,21345960,1.20%,253080
대구광역시,대구광역시 수성구의회,25620000,26294160,2.63%,674160
대구광역시,대구광역시 중구의회,22126080,22634880,2.30%,508800
대전광역시,대전광역시 대덕구의회,24639684,24960000,1.30%,320316
대전광역시,대전광역시 동구의회,24360000,24993360,2.60%,633360
대전광역시,대전광역시 서구의회,29198040,29957160,2.60%,759120
대전광역시,대전광역시 유성구의회,25260000,25916760,2.60%,656760
대전광역시,대전광역시 중구의회,23484000,23484000,0.00%,0
부산광역시,부산광역시 강서구의회,27624000,28332000,2.56%,708000
부산광역시,부산광역시 금정구의회,27342840,28053720,2.60%,710880
부산광역시,부산광역시 기장군의회,23782200,24400536,2.60%,618336
부산광역시,부산광역시 남구의회,27094560,27798960,2.60%,704400
부산광역시,부산광역시 동구의회,24850000,25490000,2.58%,640000
부산광역시,부산광역시 동래구의회,28250640,28250640,0.00%,0
부산광역시,부산광역시 부산진구의회,27818760,28542000,2.60%,723240
부산광역시,부산광역시 북구의회,26842920,26842920,0.00%,0
부산광역시,부산광역시 사상구의회,28920000,29556240,2.20%,636240
부산광역시,부산광역시 사하구의회,28770000,29517960,2.60%,747960
부산광역시,부산광역시 서구의회,24080000,24682000,2.50%,602000
부산광역시,부산광역시 수영구의회,26889960,26889960,0.00%,0
부산광역시,부산광역시 연제구의회,27659941,28351440,2.50%,691499
부산광역시,부산광역시 영도구의회,23948538,24571200,2.56%,622662
부산광역시,부산광역시 중구의회,23240000,23710000,2.02%,470000
부산광역시,부산광역시 해운대구의회,29711043,30483530,2.56%,772487
서울특별시,서울특별시 강남구의회,36300000,37243800,2.60%,943800
서울특별시,서울특별시 강동구의회,31089600,31897920,2.60%,808320
서울특별시,서울특별시 강북구의회,30420000,31034760,2.02%,614760
서울특별시,서울특별시 강서구의회,30024960,30805600,2.60%,780640
서울특별시,서울특별시 관악구의회,28010000,29100000,3.89%,1090000
서울특별시,서울특별시 광진구의회,29003795,30570000,5.40%,1566205
서울특별시,서울특별시 구로구의회,29290680,30052200,2.60%,761520
서울특별시,서울특별시 금천구의회,28430799,29170000,2.60%,739201
서울특별시,서울특별시 노원구의회,28320000,28872240,1.95%,552240
서울특별시,서울특별시 도봉구의회,28881240,29632200,2.60%,750960
서울특별시,서울특별시 동대문구의회,30374880,31450000,3.54%,1075120
서울특별시,서울특별시 동작구의회,28879920,29630790,2.60%,750870
서울특별시,서울특별시 마포구의회,29010000,29764200,2.60%,754200
서울특별시,서울특별시 서대문구의회,29775828,30550000,2.60%,774172
서울특별시,서울특별시 서초구의회,36099589,36901000,2.22%,801411
서울특별시,서울특별시 성동구의회,28850000,31100000,7.80%,2250000
서울특별시,서울특별시 성북구의회,30434400,31225680,2.60%,791280
서울특별시,서울특별시 송파구의회,33390000,34258140,2.60%,868140
서울특별시,서울특별시 양천구의회,30492203,31285000,2.60%,792797
서울특별시,서울특별시 영등포구의회,32725440,33150870,1.30%,425430
서울특별시,서울특별시 용산구의회,30130000,30732600,2.00%,602600
서울특별시,서울특별시 은평구의회,29578200,30336000,2.56%,757800
서울특별시,서울특별시 종로구의회,30965760,30965760,0.00%,0
서울특별시,서울특별시 중구의회,35239080,36155280,2.60%,916200
서울특별시,서울특별시 중랑구의회,28017960,30660000,9.43%,2642040
울산광역시,울산광역시 남구의회,30870000,30870000,0.00%,0
울산광역시,울산광역시 동구의회,26410000,26410000,0.00%,0
울산광역시,울산광역시 북구의회,26890000,26890000,0.00%,0
울산광역시,울산광역시 울주군의회,28226760,28226760,0.00%,0
울산광역시,울산광역시 중구의회,28689960,28689960,0.00%,0
인천광역시,인천광역시 강화군의회,20206320,20731680,2.60%,525360
인천광역시,인천광역시 계양구의회,21984000,22533600,2.50%,549600
인천광역시,인천광역시 남동구의회,26082000,26760130,2.60%,678130
인천광역시,인천광역시 동구의회,22352280,22933440,2.60%,581160
인천광역시,인천광역시 미추홀구의회,25356000,26015000,2.60%,659000
인천광역시,인천광역시 부평구의회,23823840,24419436,2.50%,595596
인천광역시,인천광역시 서구의회,24095760,24722244,2.60%,626484
인천광역시,인천광역시 연수구의회,24660000,25198560,2.18%,538560
인천광역시,인천광역시 옹진군의회,19370000,19870000,2.58%,500000
인천광역시,인천광역시 중구의회,23460000,23460000,0.00%,0
전라남도,전라남도 강진군의회,19220000,19720000,2.60%,500000
전라남도,전라남도 고흥군의회,18700000,18700000,0.00%,0
전라남도,전라남도 곡성군의회,17295600,17745240,2.60%,449640
전라남도,전라남도 광양시의회,23520000,25750000,9.48%,2230000
전라남도,전라남도 구례군의회,18620000,19104120,2.60%,484120
전라남도,전라남도 나주시의회,20040000,25050000,25.00%,5010000
전라남도,전라남도 담양군의회,19884000,20400000,2.60%,516000
전라남도,전라남도 목포시의회,23295120,23295120,0.00%,0
전라남도,전라남도 무안군의회,19080000,19572000,2.58%,492000
전라남도,전라남도 보성군의회,20040000,20561040,2.60%,521040
전라남도,전라남도 순천시의회,21403320,23970000,11.99%,2566680
전라남도,전라남도 신안군의회,19971360,20490000,2.60%,518640
전라남도,전라남도 여수시의회,22551600,23115360,2.50%,563760
전라남도,전라남도 영광군의회,20600000,23200000,12.62%,2600000
전라남도,전라남도 영암군의회,21387240,21943000,2.60%,555760
전라남도,전라남도 완도군의회,18300000,21780000,19.02%,3480000
전라남도,전라남도 장성군의회,18294118,21770000,19.00%,3475882
전라남도,전라남도 장흥군의회,20049600,20570880,2.60%,521280
전라남도,전라남도 진도군의회,16968240,19519920,15.04%,2551680
전라남도,전라남도 함평군의회,18420000,18898920,2.60%,478920
전라남도,전라남도 해남군의회,19340000,19591000,1.30%,251000
전라남도,전라남도 화순군의회,20515610,21049010,2.60%,533400
전라북도,전라북도 고창군의회,20522400,21050000,2.57%,527600
전라북도,전라북도 군산시의회,24442920,25078440,2.60%,635520
전라북도,전라북도 김제시의회,21250000,21250000,0.00%,0
전라북도,전라북도 남원시의회,21160000,21583200,2.00%,423200
전라북도,전라북도 무주군의회,19138796,20669900,8.00%,1531104
전라북도,전라북도 부안군의회,18787200,19275600,2.60%,488400
전라북도,전라북도 순창군의회,19130000,19627000,2.60%,497000
전라북도,전라북도 완주군의회,22654080,27445320,21.15%,4791240
전라북도,전라북도 익산시의회,24112080,24738960,2.60%,626880
전라북도,전라북도 임실군의회,18573000,18799920,1.22%,226920
전라북도,전라북도 장수군의회,19260000,19760760,2.60%,500760
전라북도,전라북도 전주시의회,29057640,29813160,2.60%,755520
전라북도,전라북도 정읍시의회,20898360,20898360,0.00%,0
전라북도,전라북도 진안군의회,19240000,19740000,2.60%,500000
충청남도,충청남도 계룡시의회,21216000,21640320,2.00%,424320
충청남도,충청남도 공주시의회,20400000,20930400,2.60%,530400
충청남도,충청남도 금산군의회,20925926,21470000,2.60%,544074
충청남도,충청남도 논산시의회,20570400,21105240,2.60%,534840
충청남도,충청남도 당진시의회,23400000,24008400,2.60%,608400
충청남도,충청남도 보령시의회,23676000,24288000,2.58%,612000
충청남도,충청남도 부여군의회,20789474,21330000,2.60%,540526
충청남도,충청남도 서산시의회,22175760,22752240,2.60%,576480
충청남도,충청남도 서천군의회,20542000,21076000,2.60%,534000
충청남도,충청남도 아산시의회,26760000,27455760,2.60%,695760
충청남도,충청남도 예산군의회,20904000,21440000,2.56%,536000
충청남도,충청남도 천안시의회,30917040,31720800,2.60%,803760
충청남도,충청남도 청양군의회,19680000,22230000,12.96%,2550000
충청남도,충청남도 태안군의회,20760000,21175000,2.00%,415000
충청남도,충청남도 홍성군의회,21606960,22168740,2.60%,561780
충청북도,충청북도 괴산군의회,17970000,19770000,10.02%,1800000
충청북도,충청북도 단양군의회,20265600,20792400,2.60%,526800
충청북도,충청북도 보은군의회,18966480,19459600,2.60%,493120
충청북도,충청북도 영동군의회,19630000,20140000,2.60%,510000
충청북도,충청북도 옥천군의회,20100000,20616000,2.57%,516000
충청북도,충청북도 음성군의회,21640800,23619600,9.14%,1978800
충청북도,충청북도 제천시의회,21000000,26040000,24.00%,5040000
충청북도,충청북도 증평군의회,20247600,20772000,2.59%,524400
충청북도,충청북도 진천군의회,21600000,22400000,3.70%,800000
충청북도,충청북도 청주시의회,29292000,30053590,2.60%,761590
충청북도,충청북도 충주시의회,22387914,22970000,2.60%,582086